cnpj_basico;cnpj_ordem;cnpj_dv;identificador_matriz_filial;nome_fantasia;situacao_cadastral;data_situacao_cadastral;motivo_situacao_cadastral;nome_cidade_exterior;pais;data_inicio_atividade;cnae_fiscal_principal;cnae_fiscal_secundaria;tipo_logradouro;logradouro;numero;complemento;bairro;cep;uf;municipio;ddd_1;telefone_1;ddd_2;telefone_2;ddd_fax;fax;correio_eletronico;situacao_especial;data_situacao_especial;cnpj_completo;situacao_cadastral_descricao;atividade_afl;razao_social;natureza_juridica;qualificacao_responsavel;capital_social;porte;ente_federativo_responsavel;porte_descricao
03304264;0001;27;1;PANIFICADORA SANTA LUZIA;02;20050827;00;;;19990519;4721102;;RUA;QUINTINO BOCAIUVA;1033;;CENTRO;14955000;SP;6247;16;32661753;;;;;;;;03304264000127;Ativa;Padaria e confeitaria;RAMOS & RAMOS PADARIA LTDA;2062;49;8000,00;01;;Microempresa (ME)
03304365;0001;06;1;;02;20250721;00;;;19990719;4721102;;AVENIDA;TIBURCIO DE SOUZA;260;C 1;PQUE RES MARENGO;08594570;SP;6563;011;46450341;;;;;;;;03304365000106;Ativa;Padaria e confeitaria;PAULO SERGIO PONTES;2135;50;0,00;05;;Demais
05338792;0001;22;1;FORNATO PIZZARIA;02;20050408;00;;;20021008;5620104;;AVENIDA;DOUTOR  LINO DE MORAES LEME;348;;JARDIM AEROPORTO;04360000;SP;7107;11;22767052;;;11;22767052;CONTAIBI@TERRA.COM.BR;;;05338792000122;Ativa;Fornecimento de alimentos para consumo domiciliar;;;;;;;
04948387;0001;63;1;TROPICAL CASA DE SUCOS E LANCHONETE;02;20051103;00;;;20020131;5611203;;RUA;RIO GRANDE DO SUL;1409;;JARDIM DOS ESTADOS;79020011;MS;9051;67;33833440;;;67;3215783;CASSI@DIRCONMS.COM.BR;;;04948387000163;Ativa;Lanchonetes e casas de chá;;;;;;;
04948926;0001;64;1;MARCIA PEREIRA MENDES;02;20220622;00;;;20020225;5611203;;UNIDADE;SHOPPING METRO ITAQUERA;S/N;QUIOSQ064;VILA CAMPANELA;08220900;SP;7107;11;27212898;;;011;67212898;ronaldo.daniel@uol.com.br;;;04948926000164;Ativa;Lanchonetes e casas de chá;;;;;;;
01659855;0001;91;1;RESTAURANTE KI-DELICIA;02;20051103;00;;;19970219;5611203;5611201;RUA;SANTOS DUMONT;14;;CENTRO;63100040;CE;1385;88;35218334;88;94623080;;;RESTAURANTEKIDELICA8@GMAIL.COM,;;;01659855000191;Ativa;Lanchonetes e casas de chá;RESTAURANTE KI-DELICIA LTDA;2062;49;30000,00;01;;Microempresa (ME)
03308286;0001;65;1;;02;20051103;00;;;19990715;5611203;;RUA;MARCOS MALUCELLI;S/N;;VILA DOS FERROVIARIO;83350000;PR;7709;;;;;;;;;;03308286000165;Ativa;Lanchonetes e casas de chá;JOAO GONCALVES DE FRANCA-LANCHONETE;2135;50;0,00;01;;Microempresa (ME)
92570142;0001;02;1;ITA RESTAURANTE;02;20010825;00;;;19890130;5611201;;RUA;SAO PEDRO;1007;TERREO;CENTRO;95670000;RS;8681;54;32863833;;;;;CONTATO@ITARESTAURANTE.COM;;;92570142000102;Ativa;Restaurantes;;;;;;;
04950384;0001;64;1;;02;20030726;00;;;20020307;5611203;;AVENIDA;MORUMBI;7715;;MORUMBI;04703003;SP;7107;;;;;;;;;;04950384000164;Ativa;Lanchonetes e casas de chá;;;;;;;
01660763;0001;21;1;PIZZARIA SAN GENNARO;02;20051103;00;;;19950828;5611201;;RUA;DOUTOR ORESTES PRATA TIBERY;325;;CENTRO;79600070;MS;9165;67;35212538;;;;;;;;01660763000121;Ativa;Restaurantes;ROBSON DOS ANJOS AZAMBUJA;2135;50;0,00;01;;Microempresa (ME)
92572502;0001;05;1;;02;20040326;00;;;19890201;5611203;;RUA;20 DE SETEMBRO;2761;SALA;SAO PELEGRINO;95020450;RS;8599;;;;;;;;;;92572502000105;Ativa;Lanchonetes e casas de chá;;;;;;;
03309215;0001;87;1;;02;20051103;00;;;19990727;4721102;;RUA;ALBERTO BINS;656;;NITEROI;92110360;RS;8589;;;;;;;;;;03309215000187;Ativa;Padaria e confeitaria;PADARIA E CONFEITARIA JHD LTDA;2062;49;0,00;01;;Microempresa (ME)
00009143;0001;64;1;;02;20050827;00;;;19940524;5611204;;AVENIDA;FABIANO PEREIRA SILVA;472;;VILA FABIANO;18913052;SP;7029;14;96684408;;;;;CARLOSJOSE83867@GMAIL.COM;;;00009143000164;Ativa;Bares sem entretenimento;JOSE CARLOS MENDONCA-MERCEARIA;2135;50;1000,00;01;;Microempresa (ME)
00009332;0001;37;1;;02;20040522;00;;;19660909;5611203;;;SHCS CL QUADRA 107 BLOCO D;S/N;LOJA 20;ASA SUL;70346540;DF;9701;;;;;;;;;;00009332000137;Ativa;Lanchonetes e casas de chá;SORVETERIA E CONFEITARIA DOM BOSCO LTDA;2062;49;2700,00;03;;Empresa de Pequeno Porte (EPP)
00009823;0001;88;1;;02;20051103;00;;;19940526;5611203;;RUA;ENG.MARIANO J.FERRAZ;48;;IMIRIM;02461030;SP;7107;;;;;;;;;;00009823000188;Ativa;Lanchonetes e casas de chá;BAR E LANCHES KARDO LTDA;2062;49;0,00;01;;Microempresa (ME)
00010458;0001;21;1;CANTINA CAMPUS;02;20221208;00;;;19940527;5611203;;AVENIDA;DOUTOR OSCAR DE MOURA LACERDA;S/N;;INDEPENDENCIA;14076510;SP;6969;16;36120663;;;;;LEONICONTABIL@GLOBO.COM;;;00010458000121;Ativa;Lanchonetes e casas de chá;LAERCIO ZANGRANDE RIBEIRAO PRETO;2135;50;0,00;01;;Microempresa (ME)
00012291;0001;38;1;;02;20051103;00;;;19940601;5611204;4723700;RUA;VALDEVINO FERNANDES;380;;VILA ITATIAIA;17690000;SP;6215;14;34782449;;;;;;;;00012291000138;Ativa;Bares sem entretenimento;LUIS CLAUDIO NICOLETI BASTOS;2135;50;20000,00;01;;Microempresa (ME)
01665210;0001;61;1;PIMENTAS BAR;02;20051103;00;;;19970127;5611203;;RUA;LUCAS EVANGELISTA;1261;;CENTRO;14701420;SP;6221;17;33430642;17;33429377;;;CONTABILFERREIRA@HOTMAIL.COM;;;01665210000161;Ativa;Lanchonetes e casas de chá;LUCIANO GAUDENCIO BEBEDOURO;2135;50;0,00;01;;Microempresa (ME)
00013858;0001;90;1;BAR DO ITAMAR;02;20001223;00;;;19940608;5611204;;ALAMEDA;BELGICA;660;;JARDIM PALMEIRAS;17900000;SP;6389;;;;;;;;;;00013858000190;Ativa;Bares sem entretenimento;BAR DO ITAMAR LTDA;2062;49;5000,00;01;;Microempresa (ME)
00014834;0001;56;1;;02;20051103;00;;;19940608;5620104;4723700,4729699,5320202,5611201;RUA;TUPI;772;;PACAEMBU;01233000;SP;7107;;;;;;;;;;00014834000156;Ativa;Fornecimento de alimentos para consumo domiciliar;ESTTRELLA O COMERCIO ALIMENTICIO LTDA;2062;49;25000,00;01;;Microempresa (ME)
03315257;0001;20;1;BELLA CARNE;02;19990730;00;;;19990730;5611205;4723700,4729601,5611203;RUA;RIACHUELO;500;;CENTRO;84010230;PR;7777;42;30286601;;;;;CONTATO@DOMANNCONTABILIDADE.COM.BR;;;03315257000120;Ativa;Bares com entretenimento;K. R. KICHILESKI BAR E BISTRO LTDA.;2062;49;80000,00;01;;Microempresa (ME)
03315304;0001;36;1;RESTAURANTE ZEZINHO CARNE DE SOL;02;20051103;00;;;19990803;5611201;;RUA;08 CHACARA 294 LOTE 02 LOJA;03;;VILA SAO JOSE (VICENTE PIRES);72003645;DF;9701;61;33511767;;;;;ZEZINHOCARNEDESOL@HOTMAIL.COM;;;03315304000136;Ativa;Restaurantes;ZEZINHO CARNE DE SOL LTDA;2062;49;50000,00;01;;Microempresa (ME)
04957551;0001;07;1;BEMGOSTOSO;02;20051103;00;;;19850912;5611201;5620102;AVENIDA;JOAO VALERIO;13;;VIEIRALVES;69053140;AM;0255;0092;06332861;;;;;;;;04957551000107;Ativa;Restaurantes;;;;;;;
92638261;0001;50;1;;02;20051103;00;;;19890331;5611201;5611203;RUA;CRISTOVAO COLOMBO;366;;CHACARA DAS FREIRAS;96825010;RS;8839;51;7133013;;;;;;;;92638261000150;Ativa;Restaurantes;;;;;;;
00015851;0001;08;1;;02;20051103;00;;;19940613;5611203;;RUA;MARCELO GIRARDI (JARDIM ANSELMO TESTA);31;;SANTO ANTONIO;14315080;SP;6217;16;37616336;;;;;CFIORI@NETSITE.COM.BR;;;00015851000108;Ativa;Lanchonetes e casas de chá;MARIA APARECIDA DA SILVA BOLDRIN;2135;50;8000,00;01;;Microempresa (ME)
01667640;0001;12;1;SILVA & SILVA;02;20010701;00;;;19970123;5611203;;RUA;TAIPAS;545;;BARCELONA;09560200;SP;7077;11;42284282;;;;;RLUCIADASILVA@GMAIL.COM;;;01667640000112;Ativa;Lanchonetes e casas de chá;PRODUTOS CASEIROS SILVA & SILVA LTDA;2062;49;10000,00;01;;Microempresa (ME)
92650605;0001;46;1;MINI MERCADO ZAMBON;02;20051103;00;;;19890403;5611203;;RUA;MAL FLORIANO PEIXOTO;38;18;CENTRO;90020060;RS;8801;;;;;;;;;;92650605000146;Ativa;Lanchonetes e casas de chá;;;;;;;
01668731;0001;72;1;MC DONALD'S;02;20020119;00;;;19961105;5611203;;RUA;BARRA BONITA;35;;MARANHAO;03073040;SP;7107;11;22252525;;;;;contaude@terra.com.br;;;01668731000172;Ativa;Lanchonetes e casas de chá;BIA'S FOOD COMERCIO DE ALIMENTOS LTDA;2062;49;10000,00;05;;Demais
00017973;0001;33;1;;02;20050108;00;;;19940614;5611203;;RUA;DO TATUAPE;09;;TATUAPE;03089030;SP;7107;;;;;;;LOJADOLUISGIOIA@GMAIL.COM;;;00017973000133;Ativa;Lanchonetes e casas de chá;BAR DO SILVERIO LTDA;2062;49;1000,00;01;;Microempresa (ME)
00017990;0001;70;1;;02;20051103;00;;;19940614;5611201;4712100,4729602,5611203;RUA;WALDOMNIRO R OLIVEIRA;20;;VL INDUSTRIAL;12220430;SP;7099;;;;;;;;;;00017990000170;Ativa;Restaurantes;SABOR DE CASA RESTAURANTE LTDA;2062;49;95000,00;01;;Microempresa (ME)
92662626;0001;81;1;;02;20051103;00;;;19660802;5611203;;GALERIA;MERCADO PUBLICO;1;BANCA 71 E 73 E 103;CENTRO HISTORICO;90020070;RS;8801;51;30840333;;;;;CLOVIS@CAFEDOMERCADO.COM.BR;;;92662626000181;Ativa;Lanchonetes e casas de chá;;;;;;;
04960500;0001;26;1;;02;20051103;00;;;20020318;5611204;;RUA;EVARISTO MARTINS SILVA;21;;JARDIM SANTA ROSA;18405180;SP;6549;15;35240209;;;;;ECSOLUCAO@HOTMAIL.COM;;;04960500000126;Ativa;Bares sem entretenimento;;;;;;;
00018115;0001;03;1;;02;20250627;00;;;19940614;5611203;;RUA;SANTA CATARINA;63;;VILA SAO RAFAEL;07052190;SP;6477;11;64214036;11;64241680;11;64214036;jfmarotti@uol.com.br;;;00018115000103;Ativa;Lanchonetes e casas de chá;MARIA JOSE DA SILVA LANCHONETE GUARULHOS;2135;50;0,00;01;;Microempresa (ME)
04960658;0001;04;1;;02;20181011;00;;;20020221;5611203;;PRACA;QUINZE DE OUTUBRO;21;;VILA CARRAO;03449080;SP;7107;11;2947430;;;;;;;;04960658000104;Ativa;Lanchonetes e casas de chá;;;;;;;
01669670;0001;68;1;PANIFICADORA AMERICANA;02;20050806;00;;;19851009;4721102;;RUA;VITALINO GOULART ANDRADE;185;;SANTA INES;75503970;GO;9425;64;4316366;;;64;4310842;REALCOMERCIO@.NETMAXI.COM.BR;;;01669670000168;Ativa;Padaria e confeitaria;SILVIO FIGUEIREDO DANTAS;2135;50;0,00;01;;Microempresa (ME)
01670154;0001;53;1;;02;20040529;00;;;19961212;4721102;4721103,4712100;RUA;BARAO DO RIO BRANCO;405;;IMIGRANTES;89120000;SC;8357;47;33991874;;;;;MARCELLOGK@HOTMAIL.COM;;;01670154000153;Ativa;Padaria e confeitaria;COMERCIAL IMIGRANTES LTDA;2062;49;2000,00;01;;Microempresa (ME)
03320213;0001;99;1;;02;20051103;00;;;19990729;5611205;4722901,4712100,5611203;RUA;ORALDINO A. VARGAS;55;;FATIMA;88540000;SC;8397;49;32752043;;;;;CONTABILIDADEXAVIER@ISCC.COM.BR;;;03320213000199;Ativa;Bares com entretenimento;03.320.213 GUILHERMINO BARBOSA BLEICHWEHL;2135;50;10,00;01;;Microempresa (ME)
01672705;0001;18;1;BISTRO YELLOW HOUSE;02;20190116;00;;;19970206;5611201;5620102;RUA;CORONEL OLIVIER;64;;CENTRO;28470000;RJ;5893;22;81678892;;;021;7092030;;;;01672705000118;Ativa;Restaurantes;RPG ALIMENTOS COMERCIAIS LTDA;2062;49;0,00;01;;Microempresa (ME)
92705854;0001;91;1;;02;20051103;00;;;19890530;5611204;;RUA;ANGELO RACANGELO DANIEL;619;TERREO;SALGADO FILHO;95098050;RS;8599;54;2131651;;;;;;;;92705854000191;Ativa;Bares sem entretenimento;;;;;;;
00021776;0001;98;1;GIOVANNI POINT SUPER;02;20051103;00;;;19940622;5611203;4763601,4729602,4789001;AVENIDA;GIOVANNI GRONCHI;5091;;VILA ANDRADE;05724003;SP;7107;11;37557000;;;;;RODOLFO.BEZERRA@HABIBS.COM.BR;;;00021776000198;Ativa;Lanchonetes e casas de chá;GIOVANNI POINT SUPER LANCHES LTDA;2062;05;150000,00;05;;Demais
03322325;0001;89;1;GARAPARIA BICO DOCE;02;20051103;00;;;19990722;5611203;;RUA;15 DE NOVEMBRO;126;;CENTRO;79330060;MS;9063;;;;;;;;;;03322325000189;Ativa;Lanchonetes e casas de chá;J.M. MARANHAO;2135;50;0,00;05;;Demais
00023452;0001;99;1;;02;20220107;00;;;19940629;5611201;;RUA;BRANCO DE MORAIS;451;;CHACARA STO ANTONIO;04718010;SP;7107;11;50413364;11;50935176;;;contabiliantas@gmail.com;;;00023452000199;Ativa;Restaurantes;ROSA DE OLIVEIRA GOMES;2135;50;1000,00;01;;Microempresa (ME)
04966737;0001;14;1;LANCHONETE PIZZARIA LUNAR;02;20051103;00;;;20020220;5611203;5611201,4729699;AVENIDA;LUIS PILLA;1369;;MARTIM FRANCISCO;13817001;SP;6717;19;38051356;19;97378659;;;JAMYLE_BARBOSA@YAHOO.COM.BR;;;04966737000114;Ativa;Lanchonetes e casas de chá;;;;;;;
00024504;0001;41;1;LA SOCIETA;02;20051103;00;;;19940708;5611201;;AVENIDA;ELISEU DE ALMEIDA;1578;;INST PREVIDENCIA;05533000;SP;7107;;;;;;;;;;00024504000141;Ativa;Restaurantes;RESTAURANTE E PIZZARIA TREVISO LTDA;2062;49;0,00;01;;Microempresa (ME)
03325967;0001;31;1;;02;20051103;00;;;19990728;5611201;;RUA;PLINIO MULLER;194;-;CENTRO;95750000;RS;8833;051;6321411;;;051;6321778;;;;03325967000131;Ativa;Restaurantes;EVA CONCEICAO PINTO MARQUES;2135;50;0,00;01;;Microempresa (ME)
03326560;0001;29;1;TRAILLER L.B.;02;20051103;00;;;19990805;5611203;;RUA;AMERICA DE ARAUJO PIRES;S/N;;CENTRO;14210000;SP;6653;;;;;;;;;;03326560000129;Ativa;Lanchonetes e casas de chá;JOAO BATISTA CORREA-LANCHES;2135;50;0,00;01;;Microempresa (ME)
00026067;0001;03;1;;02;20051103;00;;;19940708;4721102;1091102;RUA;QUINZE DE NOVEMBRO;1690;;VILA PROFESSOR SIMOES;17120066;SP;6113;14;98081090;14;32621996;14;32621996;SAMUEL.INCO28@GMAIL.COM;;;00026067000103;Ativa;Padaria e confeitaria;00.026.067 JOSE LUIS INOCENCIO;2135;50;5000,00;01;;Microempresa (ME)
04971879;0001;70;1;CHAVEIRO PARAISO;02;20050806;00;;;20020220;5620104;3702900,4120400,4321500,4322301,4712100,5611203,9529102;RUA;MAESTRO CARDIM;1336;;LIBERDADE;01323001;SP;7107;;;;;;;;;;04971879000170;Ativa;Fornecimento de alimentos para consumo domiciliar;;;;;;;
03328900;0001;50;1;MR. SHARK;02;20051103;00;;;19990727;5611203;;RUA;LAMBARI;10;PARTE;TRINDADE;24456570;RJ;5897;;;;;;;;;;03328900000150;Ativa;Lanchonetes e casas de chá;MR. SHARK ALIMENTOS LTDA;2062;49;0,00;01;;Microempresa (ME)
03328980;0001;44;1;BAR MARIEL;02;20051103;00;;;19990608;5611204;5611203,4712100,4784900,4924800,4930202;RUA;ORLANDO ZARDO;441;SALA  02;CENTRO;89590000;SC;8031;49;99370779;49;35350248;49;35350248;CONTABILLAZZARI@HOTMAIL.COM;;;03328980000144;Ativa;Bares sem entretenimento;BAR E TRANSPORTES MARIEL LTDA;2062;49;0,00;01;;Microempresa (ME)
03329531;0001;10;1;CAFE BOULEVARD;02;20051103;00;;;19990805;5611203;5611204;AVENIDA;NOSSA SENHORA DA PENHA;356;1PISO-ESPACO E;PRAIA DO CANTO;29055910;ES;5705;;;;;;;;;;03329531000110;Ativa;Lanchonetes e casas de chá;VITFAST COMERCIO DE ALIMENTOS LTDA;2062;49;0,00;01;;Microempresa (ME)
00029065;0001;60;1;;02;20070711;00;;;19940810;5611201;5611203;RUA;SEBASTIAO SAMPAIO;2870;ANEXO A ASS. SAMAMBAIA ESP;JARDIM SAO SEBASTIAO;14169200;SP;7135;16;39475397;;;16;39475397;marcianmata@ig.com.br;;;00029065000160;Ativa;Restaurantes;MARCIA A. DE NOVA MATA LANCHONETE;2135;50;2000,00;01;;Microempresa (ME)
92800887;0001;10;1;;02;20061221;00;;;19890615;5611203;;;INT  SAO JOAO MIRIM;S/N;;INTERIOR;98180000;RS;9829;;;;;;;;;;92800887000110;Ativa;Lanchonetes e casas de chá;;;;;;;
03330769;0001;66;1;PALHOCA - BAR E LANCHONETE;02;20051103;00;;;19990811;5611204;5611201,5611203;RUA;PROFESSOR SEVERINO RAMOS DE QUEIROZ;553;;VILA GLORIA;79004250;MS;9051;67;33420681;;;;;;;;03330769000166;Ativa;Bares sem entretenimento;MARCOS ROBERTO BICUDO;2135;50;10000,00;01;;Microempresa (ME)
01512463;0002;86;2;;02;20050924;00;;;19980930;4721102;;AVENIDA;PELINCA;100;LOJA 05;CENTRO;28035175;RJ;5819;;;;;;;;;;01512463000286;Ativa;Padaria e confeitaria;J. TADEU RODRIGUES ALMEIDA LTDA;2062;49;110000,00;01;;Microempresa (ME)
00030057;0001;33;1;ALEX REFEICOES A INDUSTRIA DA COMIDA;02;20051103;00;;;19940804;5611203;;RUA;BARTOLOMEU PAES;383;;VILA ANASTACIO;05092000;SP;7107;;;;;;;;;;00030057000133;Ativa;Lanchonetes e casas de chá;CELSO LIMA DE SANTANA;2135;50;0,00;01;;Microempresa (ME)
04974815;0001;22;1;IANG CHAO;02;20030208;00;;;20020404;5611201;;RUA;DEP. ODON BEZERRA;184;LOJA 248;CENTRO;58020388;PB;2051;083;2423013;;;083;2423013;adva@terra.com.br;;;04974815000122;Ativa;Restaurantes;;;;;;;
01681827;0001;70;1;;02;20051103;00;;;19970301;5611203;4321500,4329103;RUA;AFONSO PEREIRA ROCHA;427;;CENTRO GARUVA;89248000;SC;8115;47;34450130;;;;;CIDADE.ATENDIMENTO@GMAILL.COM;;;01681827000170;Ativa;Lanchonetes e casas de chá;01.681.827 JOSE FRANCISCO RIBEIRO;2135;50;1000,00;01;;Microempresa (ME)
03332307;0001;88;1;PIT STOP DO CAMINHONEIRO;02;20190318;00;;;19990806;5611204;4520001,4520005,4520006,8230002;AREA;RURAL;S/N;      SITIO BELA VISTA;AREA RURAL DE LAVRAS;37209899;MG;4763;35;98502950;;;35;38214577;EDCANEXO@GMAIL.COM;;;03332307000188;Ativa;Bares sem entretenimento;PIT STOP DO CAMINHONEIRO LTDA;2062;49;30000,00;01;;Microempresa (ME)
01682643;0001;25;1;KNEIPE;02;20051103;00;;;19970227;5611201;;RUA;VIVALDO MENDES FERRAZ;560;;CENTRO;45000450;BA;3965;;;;;;;;;;01682643000125;Ativa;Restaurantes;EDILSON PEREIRA SOUZA;2135;50;0,00;01;;Microempresa (ME)
03334776;0001;36;1;;02;20051103;00;;;19990809;5611203;;ALAMEDA;IRAE;351;;MOEMA;04075000;SP;7107;11;23522012;11;99748403;011;50512513;SERAPIO.CONTABILIDADE@BOL.COM.BR;;;03334776000136;Ativa;Lanchonetes e casas de chá;G.S.R. LANCHONETE LTDA;2062;49;15000,00;01;;Microempresa (ME)
00056097;0001;54;1;;02;20051103;00;;;19940413;5611201;5620102,8211300;RUA;VERGUEIRO;247;PAVLH PRACA DE ALIMENTACAOLOJA  06                        1                   SUBSL;LIBERDADE;01504001;SP;7107;11;35225311;;;;;ALVARO@POCKER.COM.BR;;;00056097000154;Ativa;Restaurantes;POCKER & FONSECA SERVICOS DE BUFFET E RESTAURANTE LTDA;2062;49;10000,00;01;;Microempresa (ME)
01684860;0001;54;1;;02;20051103;00;;;19970201;5611203;;TRAVESSA;DOUTOR NORBERTO BACHMANN;100;SALA  TERREO;CENTRO;89201070;SC;8179;47;30266994;;;;;CALDODECANAKAICARA@HOTMAIL.COM;;;01684860000154;Ativa;Lanchonetes e casas de chá;CALDO DE CANA KAICARA LTDA;2062;49;20000,00;01;;Microempresa (ME)
03336309;0001;45;1;;02;20051103;00;;;19990811;5611203;;RUA;BERNARDO AROEIRA;511;;MATADOURO;37480000;MG;4755;35;99786510;;;;;DESPACHANTELAMBARI@HOTMAIL.COM;;;03336309000145;Ativa;Lanchonetes e casas de chá;DENISE DAMASCENA PAZ;2135;50;1000,00;01;;Microempresa (ME)
00058188;0001;29;1;RESTAURANTE & PIZZARIA BOCA LIVRE E HOTEL IMPERIAL;02;20050827;00;;;19940503;5611201;5510801,5611204;QUADRA;55;SN;LOTE 03 LOJA 01;CENTRO;72900001;GO;9677;;;;;;;;;;00058188000129;Ativa;Restaurantes;RESTAURANTE E HOTEL BALRENI LTDA;2062;49;30000,00;01;;Microempresa (ME)
03337966;0001;07;1;BAR E RESTAURANTE BUDEGA 101;02;20010908;00;;;19990809;5611201;4721102,4721104,4723700,5611203,5620102;RUA;LAURO CAVALCANTE;101;;CENTRO;69020230;AM;0255;092;2321821;;;092;2321821;;;;03337966000107;Ativa;Restaurantes;BAR E RESTAURANTE BUDEGA 101 LTDA;2062;49;50000,00;03;;Empresa de Pequeno Porte (EPP)
00058541;0001;70;1;BUTECO TOMAUMA;02;20051103;00;;;19940501;5611205;5611203;RUA;MATEUS LEME;2631;;BOM RETIRO;80520174;PR;7535;41;98713461;;;;;DELIMA.ADV@GMAIL.COM;;;00058541000170;Ativa;Bares com entretenimento;Q COISA BOA BAR LTDA;2062;49;30000,00;01;;Microempresa (ME)
